TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39627887950694022,6405,2722,0013,n/a,2.1290950775146484,0.5657094717025757
39633082617168090,1899,670,0013,n/a,2.8572747707366943,0.9944303631782532
39628133686576879,10206,3995,0013,n/a,2.4688127040863037,0.999984622001648
39633015390864035,6869,1666,0013,n/a,2.2108867168426514,0.9999992847442627
39628025469339139,100963,4940,0013,n/a,2.4377880096435547,0.9989983439445496
39627902408461500,3026,3977,0013,n/a,2.4245786666870117,0.9267714619636536
39627859651728114,2514,2897,0013,n/a,2.085566997528076,0.9283774495124817
39627758141180630,10491,1247,0013,n/a,2.1442782878875732,0.999993085861206
39627738616693799,2532,2595,0013,n/a,2.2617013454437256,0.9999918937683105
39633000941487198,8418,2360,0013,n/a,2.4721031188964844,0.9999997615814209
39627775023255964,7225,3071,0013,n/a,2.166700601577759,0.9462151527404785
39627830895576181,2670,4362,0013,n/a,2.274862766265869,0.9999977350234985
39628374724839161,1916,3875,0013,n/a,2.286097526550293,0.9949104189872742
39628076656625747,1208,2374,0014,n/a,2.545950412750244,0.8256430625915527
39633225340947888,1894,4520,0014,n/a,2.4456849098205566,0.6942655444145203
39628172840403171,5133,4488,0014,n/a,2.1198818683624268,0.698011577129364
39627800478487287,245,2304,0014,n/a,2.619844675064087,0.9998892545700073
39632976388030584,190,1939,0014,n/a,1.985349416732788,0.9470112919807434
39628527397504337,5692,257,0014,n/a,2.1409881114959717,0.9999978542327881
39627902920166282,136,1343,0014,n/a,2.0004851818084717,0.881293773651123
39627775367187103,10859,4553,0014,n/a,2.1799097061157227,0.9554857611656189
39628317720052904,9156,4740,0014,n/a,1.985349416732788,0.9986026883125305
39627775744675608,448,4454,0014,n/a,2.500447988510132,0.9999935626983643
39627769507744597,1273,3009,0014,n/a,2.4279167652130127,0.9984350800514221
39627799039839053,11763,4721,0014,n/a,2.2181732654571533,0.9840455055236816
39627897043945635,10496,4693,0014,n/a,2.24125337600708,0.9998026490211487
39627857642658014,3284,4925,0014,n/a,2.352705717086792,0.9378705620765686
39627958872179449,1848,3019,0014,n/a,2.015010356903076,0.9999380111694336
39633539330736221,8571,3672,0015,n/a,2.2834651470184326,0.993410050868988
39628394270297971,4710,4147,0015,n/a,2.1073312759399414,0.9990058541297913
39627776352848874,246,3524,0015,n/a,2.1799097061157227,0.9999958276748657
39627835538671047,7200,23,0015,n/a,2.303913116455078,0.9999980926513672
39627751614841987,4730,785,0015,n/a,2.5940842628479004,0.9993257522583008
39627788663133167,7360,4726,0015,n/a,2.3217287063598633,0.9999995231628418
39627757629473517,10847,4646,0015,n/a,2.4767096042633057,0.9814797043800354
39627939364474917,9040,826,0015,n/a,2.303913116455078,0.9645473957061768
39633179505592081,11156,4068,0015,n/a,2.8572747707366943,0.9999985694885254
39628102313183766,11619,4481,0015,n/a,2.56376576423645,0.999559223651886
39628122118687525,8621,4847,0015,n/a,2.016326665878296,0.9998984336853027
39627690453500160,4092,4083,0015,n/a,2.758983850479126,0.9999998807907104
39632986525667060,11144,4643,0015,n/a,2.5861873626708984,0.9759833216667175
39627646333617574,10516,4911,0015,n/a,2.0954856872558594,0.8651793003082275
39627568244068250,100125,3046,0015,n/a,2.13374924659729,0.9185682535171509
39627579895840950,7782,3219,0015,n/a,2.5512146949768066,0.9906345009803772
39627721533294149,4717,893,0016,n/a,2.051957845687866,0.5306293964385986
39627660808165288,4408,655,0016,n/a,2.3223869800567627,0.9948635697364807
39627863246247229,6945,3160,0016,n/a,2.2563889026641846,0.9991316199302673
39627690415756453,5652,411,0016,n/a,3.046570301055908,0.9999911785125732
39627718156879861,9360,4258,0016,n/a,2.6620566844940186,0.9999985694885254
39628057463490754,5668,1823,0016,n/a,2.032167673110962,0.998976469039917
39628428160273054,3762,3963,0016,n/a,2.016984701156616,0.9843769073486328
39627817234729605,102791,4950,0016,n/a,2.1779356002807617,0.9957855343818665
39627830899775772,100087,3252,0016,n/a,2.127779006958008,0.8335255980491638
39627817930986078,30,2216,0016,n/a,3.129678249359131,1.0
39628346815939469,7502,3416,0016,n/a,2.507028579711914,0.9953376054763794
39633131258514471,7893,3573,0016,n/a,2.264333486557007,0.999745786190033
39627914097988470,11921,2558,0017,n/a,2.231334686279297,0.9982469081878662
39627835685473991,11944,2151,0017,n/a,2.6172125339508057,0.7020334005355835
39627646329425984,4308,816,0017,n/a,2.0895631313323975,0.535781979560852
39627636959347987,10836,4962,0017,n/a,2.5274760723114014,0.9978306889533997
39627833265360175,5173,4864,0017,n/a,2.6890852451324463,0.6791795492172241
39628481453100455,7507,3425,0017,n/a,3.3011584281921387,0.9156909584999084
39633010856824027,10020,2468,0017,n/a,2.7675864696502686,0.9999686479568481
39628033514015500,3945,4413,0017,n/a,3.0637283325195312,0.9999996423721313
39633414332088936,9328,4860,0017,n/a,2.8539843559265137,0.7499892711639404
39627485616280821,11865,1438,0017,n/a,2.0334839820861816,0.9999979734420776
39628486985388009,6489,2,0017,n/a,2.096801996231079,1.0
39628486695978092,7507,3558,0017,n/a,2.645556926727295,0.9954082369804382
39628526449595567,11536,4570,0017,n/a,2.073063850402832,0.975712239742279
39627763275011043,5680,4992,0017,n/a,2.469470977783203,0.9999959468841553
39627740093087907,5783,772,0017,n/a,2.3599445819854736,0.9999996423721313
39627752256574778,8915,4987,0018,n/a,2.0565640926361084,0.999808132648468
39632931680946291,1912,4542,0018,n/a,2.658766269683838,0.9999134540557861
39627702998666784,2839,957,0018,n/a,2.425236701965332,0.5694597363471985
39627702986084588,2839,967,0018,n/a,2.475393295288086,0.9993674159049988
39627878698061303,5242,3300,0018,n/a,2.77416729927063,0.9999940395355225
39628033505627746,101311,2467,0018,n/a,2.3223869800567627,0.9999972581863403
39627889787799390,5666,4722,0018,n/a,2.729323148727417,0.9997403025627136
39627833319904600,2047,484,0018,n/a,2.8229596614837646,0.9999206066131592
39627636959349722,4413,4749,0018,n/a,3.0393319129943848,0.9999984502792358
39627841750434589,8808,494,0018,n/a,2.293994426727295,0.6821473240852356
39627799815783715,445,2107,0019,n/a,2.66666316986084,0.9999982118606567
39627766353631324,4139,4754,0019,n/a,2.2352828979492188,0.8177063465118408
39628210991794875,2771,4399,0019,n/a,2.8183529376983643,0.9996353387832642
39627785018279666,7430,478,0019,n/a,2.1917550563812256,0.9999074935913086
39627973724214080,10189,886,0019,n/a,2.1719651222229004,0.9999998807907104
39628514319663636,6012,3290,0019,n/a,2.4595515727996826,0.9869564771652222
39627979621401814,7832,4158,0019,n/a,2.1297531127929688,0.998157799243927
39627709923462281,1085,4578,0019,n/a,2.363940715789795,0.9785929918289185
39627669297434202,1842,1925,0019,n/a,2.366572856903076,0.9999935626983643
39627847832178335,1484,4883,0019,n/a,2.5156309604644775,0.9999721050262451
39627647101177757,8751,4935,0019,n/a,2.2630176544189453,0.8525252342224121
39627889909433232,11932,4600,0019,n/a,3.100627899169922,0.9983622431755066
39632951897489652,3479,4317,0019,n/a,2.369863510131836,0.9956722259521484
39627752269154302,2665,718,0019,n/a,2.4021565914154053,0.6447135806083679
39627568206315882,4303,4365,0019,n/a,2.2847814559936523,0.9575908780097961
39627932942993832,1118,2272,0020,n/a,2.5585007667541504,0.9999969005584717
39633043123604070,5110,1933,0020,n/a,3.3051066398620605,1.0
39628481146914747,2199,2682,0020,n/a,2.766270399093628,0.7199652194976807
39627755238726947,102053,2351,0020,n/a,2.2075963020324707,0.9999167919158936
39633040212757794,3322,4041,0020,n/a,2.238621234893799,0.9960685968399048
39632930535900033,11051,3971,0020,n/a,2.018958806991577,0.9969581365585327
39633170315872927,4522,3797,0020,n/a,2.2953104972839355,0.9995903372764587
39628197632936034,7081,1178,0020,n/a,2.092853546142578,0.9999986886978149
39627752214628725,121108,2908,0020,n/a,2.0631449222564697,0.9997931122779846
39627697579627504,4728,4874,0020,n/a,2.407468557357788,1.0
39627860058572442,3041,4428,0020,n/a,2.239279270172119,0.8452253341674805
39627823341634078,5648,450,0020,n/a,2.2089123725891113,0.9999370574951172
39627690608693343,8778,712,0020,n/a,2.4859228134155273,0.9999992847442627
39628041340590544,2975,1904,0020,n/a,2.626425266265869,0.9999998807907104
39633245125479992,1894,1516,0020,n/a,2.772193193435669,0.6807498931884766
39628069400479060,7210,3429,0020,n/a,2.610584020614624,0.6043498516082764
39627865645388624,7204,4058,0021,n/a,2.1469109058380127,0.9056047797203064
39633049415058644,11145,1066,0021,n/a,2.2306766510009766,0.999659538269043
39627684443062901,11925,4082,0021,n/a,2.3190488815307617,0.5508869290351868
39627636791575184,2836,4776,0021,n/a,2.014352321624756,0.5288453102111816
39627634035925741,2735,3012,0021,n/a,2.1832001209259033,0.989376425743103
39627622702910220,4804,3054,0021,n/a,2.319706916809082,0.9975080490112305
39628166846744794,9854,3879,0021,n/a,2.159461736679077,0.9999991655349731
39627764034178732,8943,3791,0021,n/a,2.319706916809082,0.9874047040939331
39627933643446787,4571,1026,0021,n/a,2.266307830810547,0.996246874332428
39628232168838194,10209,2651,0021,n/a,2.3474411964416504,0.5597670078277588
39627368557449743,1169,1672,0021,n/a,2.229360342025757,0.9999916553497314
39627757432341021,10849,4060,0021,n/a,2.6831624507904053,0.6554406881332397
39633029584391856,7648,264,0021,n/a,2.4826323986053467,0.9985998272895813
