TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39628460167006696,10011,549,0004,124,2.034142017364502,0.9999995231628418
39627806526673684,4226,4063,0004,80,2.018958806991577,0.9978304505348206
39628289781794118,10738,2747,0004,56,2.270914316177368,0.9999996423721313
39628301035112999,10738,2793,0004,68,2.617870330810547,0.9999144077301025
39628423332628958,1253,4239,0004,106,2.6936919689178467,0.9999992847442627
39636264323910815,8698,4132,0004,24,3.106597900390625,0.945919930934906
39627468235083088,8698,4425,0004,105,2.2557311058044434,0.9911681413650513
39627997593994209,3936,2936,0004,118,2.7405099868774414,0.6175029873847961
39628509110341038,4445,3758,0004,-1,2.1488850116729736,0.9999736547470093
39627830140601676,5256,4409,0004,104,2.6191866397857666,0.9960314631462097
39627981534004699,9028,4862,0004,3,2.0354580879211426,0.9997861981391907
39627884221960439,1446,1660,0004,3,2.923225164413452,0.9989122152328491
39627812352561243,8928,1425,0004,113,2.4120750427246094,0.9703565239906311
39628348661435708,6985,3044,0004,108,2.4028146266937256,0.9999955892562866
39632955932411406,2175,1842,0004,82,2.9971201419830322,0.9999372959136963
39628129903314926,1417,4078,0005,124,3.0624122619628906,0.9893240332603455
39627826554477394,1855,3581,0005,-1,2.3810503482818604,0.9125676155090332
39627733923267726,10492,3024,0005,107,2.8031699657440186,0.9994864463806152
39627965071364532,9612,4748,0005,65,2.996461868286133,1.0
39632961804439176,1750,1407,0005,79,2.727348566055298,0.9986516833305359
39627763975457208,9929,3894,0005,34,2.7563514709472656,0.9999997615814209
39627553517864175,1586,4642,0005,68,2.2181732654571533,0.9875655770301819
39633082617168090,1899,670,0005,73,2.8572747707366943,0.9944303631782532
39632971296145494,9971,2357,0005,113,2.5736842155456543,0.7725957036018372
39627939301558009,8936,3288,0005,102,2.757009744644165,1.0
39628286954838365,3852,4930,0005,39,2.2352828979492188,0.9982298016548157
39627769507744597,1273,3009,0005,122,2.4279167652130127,0.9984350800514221
39627997585608741,3936,2342,0005,23,2.897512674331665,0.6618008017539978
39627757432341021,10849,4060,0006,124,2.6831624507904053,0.6554406881332397
39627968854622617,80709,3324,0006,124,2.4701287746429443,0.9999831914901733
39628080825767787,5514,3492,0006,105,3.3790016174316406,0.9999918937683105
39632941415923885,9584,1485,0006,124,2.55981707572937,0.9998689889907837
39627703611035520,4728,4866,0006,124,2.0354580879211426,0.9999948740005493
39627660531338511,7243,2193,0006,124,2.379734516143799,0.9999998807907104
39627848671040185,2682,4603,0006,124,2.3903114795684814,0.9958875775337219
39627836864073981,8916,4460,0006,96,2.3190488815307617,0.8436943888664246
39628210991794875,2771,4399,0006,-1,2.8183529376983643,0.9996353387832642
39627799157281556,11936,462,0006,-1,2.485264539718628,0.9999988079071045
39627953859988584,2040,2531,0006,100,2.6567442417144775,0.9760696291923523
39627670979346797,5576,3003,0006,1,1.9747726917266846,0.9992865920066833
39627703460039394,4715,2899,0006,94,1.9899559020996094,0.9999853372573853
39627748339089932,10928,4827,0006,5,1.99522066116333,0.9999874830245972
39628255896014996,9264,4643,0006,30,2.049325466156006,0.9960816502571106
39628193879036788,1418,3463,0006,39,2.7965893745422363,0.9994605183601379
39628436049760408,1815,472,0006,70,2.1053569316864014,0.999833345413208
39627969198557684,10501,1444,0006,89,2.372495651245117,0.8365373015403748
39627971174077444,9660,4132,0006,56,2.3889951705932617,0.9976818561553955
39627709051045130,10861,2480,0006,89,2.1917550563812256,0.9999874830245972
39627837187033810,4554,680,0006,121,2.2907040119171143,0.9998140931129456
39627727887667538,4245,541,0006,8,2.073063850402832,0.9844261407852173
39627929700796193,5172,2354,0006,88,2.3124682903289795,0.9966894388198853
39628007987480637,11084,755,0006,117,2.0862252712249756,0.9598144888877869
39627673537871919,5808,2033,0006,27,2.1753032207489014,0.970058023929596
39633034739190492,11576,4095,0006,116,2.1192240715026855,0.8844547867774963
39627959383885435,2225,4048,0006,33,2.509002685546875,0.8157873749732971
39628152070213049,4586,4678,0006,124,2.0756959915161133,0.9657139778137207
39628046952566163,1223,3838,0006,15,2.124488592147827,1.0
39627824050474954,55,3466,0006,83,2.1779356002807617,0.9999796152114868
39627909110957917,7372,2800,0007,124,2.309177875518799,0.9962881803512573
39628428160273054,3762,3963,0007,124,2.016984701156616,0.9843769073486328
