TILEID,SURVEY,PROGRAM,FAPRGRM,NEXP,EXPTIME_TOTAL,AIRMASS_MEAN,SEEING_ETC_MEAN,SEEING_GFA_MEAN,TRANSPARENCY_GFA_MEAN,SKY_MAG_AB_GFA_MEAN,SKY_MAG_G_SPEC_MEAN,SKY_MAG_R_SPEC_MEAN,SKY_MAG_Z_SPEC_MEAN,EBV_MEAN
43061,main,backup,backup,4,2263.238770,1.264698,1.780796,1.682793,0.541592,19.923934,20.768928,19.896500,18.359342,0.041399
43063,main,backup,backup,2,1081.982819,1.443840,1.504447,1.432480,0.858246,18.888629,19.136055,18.889362,18.300914,0.030206
43064,main,backup,backup,2,1213.630371,1.307203,1.947267,2.038131,0.820020,19.886407,20.432822,19.812298,18.590257,0.072358
43065,main,backup,backup,2,1059.716248,1.245155,2.481890,2.454496,0.912636,21.083089,21.968217,20.973929,19.092562,0.039303
43066,main,backup,backup,2,840.337601,1.211072,1.007622,1.125361,0.436110,20.784945,21.809442,20.705896,19.085878,0.031997
43067,main,backup,backup,3,1656.232391,1.281015,2.183689,1.980861,0.643067,20.698388,21.657386,20.638952,18.727570,0.042869
43068,main,backup,backup,1,233.173691,1.179997,1.146626,1.357625,1.083375,20.913749,22.003438,20.710468,18.830010,0.052863
43069,main,backup,backup,1,240.063293,1.141455,1.007009,1.116348,0.999390,20.350953,20.091906,20.181597,18.986936,0.038624
43070,main,backup,backup,2,865.572845,1.306164,2.228281,1.982421,0.879014,19.891642,20.439051,19.774042,18.536194,0.053707
43072,main,backup,backup,3,1815.823486,1.378132,2.393860,2.257791,0.474866,20.522086,21.613135,20.499038,18.713974,0.067649
43073,main,backup,backup,5,2184.802307,1.252690,1.984215,2.057233,0.700544,19.559753,20.268539,19.485247,18.101237,0.044093
43078,main,backup,backup,3,1806.555969,1.291077,2.642442,2.325669,0.745851,20.006845,20.426486,19.954963,18.900028,0.032848
43079,main,backup,backup,4,1555.393929,1.204165,2.456731,2.076985,0.871198,19.049063,18.669779,19.006776,18.505325,0.065681
43081,main,backup,backup,4,2051.454803,1.450877,1.565752,1.453822,0.536878,19.313486,20.037126,19.277524,18.105610,0.058523
43083,main,backup,backup,2,456.308777,1.142686,1.160248,1.235874,0.936029,19.375721,19.203341,19.308768,18.617732,0.044151
43084,main,backup,backup,2,1089.931519,1.243588,2.059005,1.818301,0.659748,20.621623,21.330636,20.523275,18.735826,0.041706
80605,sv1,dark,lrgqso,24,19559.148750,1.354814,,1.727221,0.965182,20.682459,21.870018,20.976817,19.249501,0.027870
80606,sv1,dark,elg,12,10800.694092,1.277556,,1.280890,1.023385,20.611663,21.980087,21.058915,19.199216,0.027436
80607,sv1,dark,lrgqso,15,13500.818115,1.121299,,1.208846,0.970890,20.688399,22.205433,21.258425,19.438480,0.055867
80608,sv1,dark,elg,23,20701.416687,1.162479,,1.110228,0.917764,20.639444,21.843840,20.994139,19.258485,0.055518
80609,sv1,dark,lrgqso,15,13500.656006,1.175679,,1.193618,0.975985,20.334256,22.024821,20.921244,18.930687,0.021392
80610,sv1,dark,elg,16,13955.652649,1.191438,,1.163046,0.970139,20.757595,22.060227,21.036496,19.097499,0.020909
80611,sv1,bright,bgsmws,12,3600.875854,1.012831,,1.314568,0.888350,19.419525,20.281010,19.899882,18.864279,0.089197
80612,sv1,bright,bgsmws,17,5101.258850,1.347377,,1.423087,0.927461,20.331278,20.833275,20.414555,19.103531,0.051958
80613,sv1,bright,bgsmws,30,10974.983948,1.265360,,1.176182,0.823324,19.834694,20.317458,19.944125,18.884428,0.055925
80614,sv1,bright,bgsmws,4,1431.210144,1.350642,,1.065424,1.007919,20.574662,21.314629,20.784593,19.315890,0.037224
80615,cmx,other,m33,4,3600.050964,1.032307,,0.907729,0.996887,20.862481,22.100092,21.122584,19.134408,0.054772
80616,sv1,bright,bgsmws,17,5101.055817,1.036730,,1.199660,0.963818,20.107708,20.687899,20.397305,19.116433,0.081014
80617,sv1,bright,bgsmws,16,4801.018127,1.070209,,1.332669,0.943081,19.854166,20.411272,20.065596,18.937901,0.032947
80618,sv1,bright,bgsmws,30,9779.619171,1.382466,,1.606387,0.841977,20.026797,20.609507,20.191535,18.968253,0.055543
80619,sv1,bright,bgsmws,18,5401.398804,1.549733,,1.632276,0.772626,19.873333,20.582446,20.076695,18.810433,0.035887
80620,sv1,dark,lrgqso,9,8100.472595,1.260034,,1.020450,0.983323,20.813893,22.254187,21.238923,19.254771,0.035721
